416;COUPELLE HYDRAULIQUE;;39,00;
417;RACLEUR;;26,00;
418;RACLEUR;;26,00;
419;COUPELLE HYDRAULIQUE;;39,00;
420;KIT NECESSAIRE;S/M;169,00;
421;OXYGENE;;46,69;
422;ELECTRODE;E 312-17 D 4MM CASTOLIN;330,00;
423;RECHARGE CARTE CARBURANT;N°2126592;5 454,55;
424;JOINT A LEVRE;D 68MM 80Sh;20,70;
425;MANCHON EN CAOUATCHOUC;45/37,5X28X141 AVEC EMBOUT CONIQUE;51,75;
426;BAGUE EN CAOUTCHOUC;73X110X18;28,75;
427;TUBE PVC;160 PN6;92,00;
428;COLLE;PVC 1KG;90,00;
429;RIVET;4X20;0,30;
430;TUBE PEHD;63PN10;25,00;
431;TUBE PEHD;32PN16;9,20;
432;MANCHON;"1"" LISSE";10,60;
433;MANCHON PEHD;63X63;65,00;
434;TE PEHD;"63X2""";65,00;
435;MANCHON PEHD;50x50;58,00;
436;RACCORD UNION;"1"" NOIR EE";48,94;
437;DIAGNOSTIC ET ENTRETIEN;MOTEUR C9 SERIE MBD05804;6 000,00;
438;TREUIL HYDRAULIQUE;AVEC CABLE DE 12 TONNES;27 000,00;
439;BILLE;50MM;220,00;
440;CIMENT;CPJ 45 SUR PALLETTE;1 441,67;
441;TRANSPORT;;1 500,00;
442;LOCATION CAMION PLATEAU;;4 000,00;
443;LOCATION CAMION PORTE CHARS;;6 500,00;
444;PRESSE ETOUPE;ELECTROPOMPE SAER 5,5KW;1 100,00;
445;PRESSE ETOUPE;ELECTROPOMPE SAER 4KW;1 100,00;
446;DISQUE DUR EXTERNE;2 TERA ADATA;990,00;
447;GASOIL;;11,79;
448;POMPE D'AMORSSAGE;KOMATSU S/M;1 150,00;
449;CIMENT;CPJ 45 SUR PALLETTE;1 441,67;
450;TRANSPORT;;1 500,00;
451;RACCORD PEHD;"32X1"" MALE";21,00;
452;MANCHON PEHD;32X32;22,50;
453;COMPARATEUR;0-10MM-P0,1MM-60MM;200,00;
454;BASE MAGNETIQUE;60KG;180,00;
455;OBTURATEUR SIMPLE;R 74 LG=1000MM;5 577,00;
456;COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER;8 240,00;
457;CONFECTION CABLE A RESSORT;S/M;500,00;
458;CONFECTION FLEXIBLE;3/4 R2 LG=3MT FF BSP;339,45;
459;CONFECTION FLEXIBLE;1/2 R2 LG=3MT FF BSP;224,34;
460;ADAPTEUR;"3/8"" A GAZ";14,40;
461;ADAPTEUR;"3/4"" A GAZ";29,40;
462;ADAPTEUR;"1/2"" A GAZ";18,62;
463;CONFECTION FLEXIBLE;"1"" R2 LG=5MT FF BSP";713,22;
464;VANNE A BILLE;"1"" SIRAL";161,00;
465;HUILE;DTE 26 208LT;8 200,00;
466;HUILE;15W40 SUPER 1300 204LT;6 685,00;
467;HUILE;DTE 26 208LT;8 200,00;
468;HUILE;HD 90 20LT;652,00;
469;HUILE;DTE 26 20LT;1 100,00;
470;CABLE ANTIGIRATOIRE;D 10MM;24,00;
471;REDUCTION;"1""MX3/4F HYDRAULIQUE";42,00;
472;ADAPTEUR;"3/4"" HYDRAULIQUE";18,00;
473;ADAPTEUR;"1"" HYDRAULIQUE";29,50;
474;MANOMETRE;315 BARS D 63MM;98,00;
475;TE HYDRAULIQUE;"1""";215,00;
476;MOTEUR HYDRAULIQUE;SAUER 90M55;7 000,00;
477;BRIDE;SAUER 90M55;150,00;
478;CIMENT;45 CPJ SUR PALETTE;1 441,67;
479;TRANSPORT;;1 500,00;
480;CABLE ELECTRIQUE SOUPLE;2X1,5MM2;6,25;
481;PROLONGATEUR;3P+T 32A;104,17;
482;PROLONGATEUR;2P+T16A;70,83;
483;MANCHON;"1"" G/D";21,00;
484;OPTIQUE DE PHARE;ENGIN S/M 24V;300,00;
485;TUBE PVC;160 PN6;92,00;
